;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;11<DAAT<=14;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;14<DAAT<=18;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;5<DAAT<=11;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT<=5;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18;DAAT>18
;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal
;['All closed'];['WP1', 'WP2', 'WP3'];['WP1', 'WP2'];['WP1', 'WP3'];['WP1'];['WP2', 'WP3'];['WP2'];['WP3'];['WP4', 'WP1', 'WP2', 'WP3'];['WP4', 'WP1', 'WP2'];['WP4', 'WP1', 'WP3'];['WP4', 'WP1'];['WP4', 'WP2', 'WP3'];['WP4', 'WP2'];['WP4', 'WP3'];['WP4'];['All closed'];['WP1', 'WP2', 'WP3'];['WP1', 'WP2'];['WP1', 'WP3'];['WP1'];['WP2', 'WP3'];['WP2'];['WP3'];['WP4', 'WP1', 'WP2', 'WP3'];['WP4', 'WP1', 'WP2'];['WP4', 'WP1', 'WP3'];['WP4', 'WP1'];['WP4', 'WP2', 'WP3'];['WP4', 'WP2'];['WP4', 'WP3'];['WP4'];['All closed'];['WP1', 'WP2', 'WP3'];['WP1', 'WP2'];['WP1', 'WP3'];['WP1'];['WP2', 'WP3'];['WP2'];['WP3'];['WP4', 'WP1', 'WP2', 'WP3'];['WP4', 'WP1', 'WP2'];['WP4', 'WP1', 'WP3'];['WP4', 'WP1'];['WP4', 'WP2', 'WP3'];['WP4', 'WP2'];['WP4', 'WP3'];['WP4'];['All closed'];['WP1', 'WP2', 'WP3'];['WP1', 'WP2'];['WP1', 'WP3'];['WP1'];['WP2', 'WP3'];['WP2'];['WP3'];['WP4', 'WP1', 'WP2', 'WP3'];['WP4', 'WP1', 'WP2'];['WP4', 'WP1', 'WP3'];['WP4', 'WP1'];['WP4', 'WP2', 'WP3'];['WP4', 'WP2'];['WP4', 'WP3'];['WP4'];['All closed'];['WP1', 'WP2', 'WP3'];['WP1', 'WP2'];['WP1', 'WP3'];['WP1'];['WP2', 'WP3'];['WP2'];['WP3'];['WP4', 'WP1', 'WP2', 'WP3'];['WP4', 'WP1', 'WP2'];['WP4', 'WP1', 'WP3'];['WP4', 'WP1'];['WP4', 'WP2', 'WP3'];['WP4', 'WP2'];['WP4', 'WP3'];['WP4'];['All closed'];['WP1', 'WP2', 'WP3'];['WP1', 'WP2'];['WP1', 'WP3'];['WP1'];['WP2', 'WP3'];['WP2'];['WP3'];['WP4', 'WP1', 'WP2', 'WP3'];['WP4', 'WP1', 'WP2'];['WP4', 'WP1', 'WP3'];['WP4', 'WP1'];['WP4', 'WP2', 'WP3'];['WP4', 'WP2'];['WP4', 'WP3'];['WP4']
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1;B2E1
;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01
;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping
;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM;TPM
Time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-08-17;0.769230769231;0.0;0.0;0.0;0.0;0.179487179487;0.0;0.0;0.0512820512821;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.267857142857;0.0;0.0;0.0;0.0;0.446428571429;0.0;0.0;0.285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.960784313725;0.0;0.0;0.0;0.0;0.0294117647059;0.0;0.0;0.00980392156863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.665730337079;0.0;0.0;0.0;0.0;0.168539325843;0.0;0.0;0.162921348315;0.0;0.0;0.00280898876404;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1875;0.0;0.0;0.0;0.0;0.3125;0.0;0.0;0.4875;0.0;0.0;0.0125;0.0;0.0;0.0;0.0
