;Weather
;-
;-
;AT
;
2013-01-01;5.710926532745361
2013-01-02;3.285932779312134
2013-01-03;3.715585947036743
2013-01-04;6.561720371246338
2013-01-05;6.516230583190918
2013-01-06;5.788239479064941
2013-01-07;6.216523170471191
2013-01-08;3.282313108444214
2013-01-09;1.8935458660125732
2013-01-10;1.7904008626937866
2013-01-11;1.4975053071975708
2013-01-12;-2.0494236946105957
2013-01-13;-2.680506944656372
2013-01-14;-2.1328792572021484
2013-01-15;-1.1712570190429688
2013-01-16;-1.8185644149780273
2013-01-17;-3.1490352153778076
2013-01-18;-2.497520923614502
2013-01-19;-3.205199718475342
2013-01-20;-2.906891107559204
2013-01-21;0.1623508781194687
2013-01-22;0.8479971885681152
2013-01-23;-0.42028069496154785
2013-01-24;-3.3203797340393066
2013-01-25;-2.793983221054077
2013-01-26;-1.8631157875061035
2013-01-27;1.651790738105774
2013-01-28;4.303877353668213
2013-01-29;6.668084621429443
2013-01-30;10.993840217590332
2013-01-31;8.19310474395752
2013-02-01;6.759852409362793
2013-02-02;2.8105063438415527
2013-02-03;1.6027330160140991
2013-02-04;3.0009422302246094
2013-02-05;3.455185651779175
2013-02-06;0.9783062934875488
2013-02-07;0.26418423652648926
2013-02-08;0.23424841463565826
2013-02-09;-1.3404061794281006
2013-02-10;-4.064947605133057
2013-02-11;-2.523664951324463
2013-02-12;-2.2878310680389404
2013-02-13;-0.23037193715572357
2013-02-14;-1.4472739696502686
2013-02-15;0.5810452699661255
2013-02-16;3.0930585861206055
2013-02-17;2.442884683609009
2013-02-18;1.1135549545288086
2013-02-19;0.38705965876579285
2013-02-20;0.09401960670948029
2013-02-21;-2.2961764335632324
2013-02-22;-4.893641471862793
2013-02-23;-4.165963649749756
2013-02-24;-1.5051124095916748
2013-02-25;-1.0281403064727783
2013-02-26;0.10605337470769882
2013-02-27;1.4108163118362427
2013-02-28;2.2066996097564697
2013-03-01;1.5421544313430786
2013-03-02;1.714531421661377
2013-03-03;0.9356722831726074
2013-03-04;3.756701707839966
2013-03-05;5.180273532867432
2013-03-06;7.140753269195557
2013-03-07;11.010034561157227
2013-03-08;10.386617660522461
2013-03-09;11.25662899017334
2013-03-10;7.576783657073975
2013-03-11;0.9554488062858582
2013-03-12;-1.2758674621582031
2013-03-13;-3.2621140480041504
2013-03-14;-1.70023775100708
2013-03-15;-0.6348002552986145
2013-03-16;3.0792582035064697
2013-03-17;4.944624423980713
2013-03-18;4.592033863067627
2013-03-19;4.474708557128906
2013-03-20;4.643694877624512
2013-03-21;4.279922962188721
2013-03-22;3.667764663696289
2013-03-23;1.0089197158813477
2013-03-24;1.0984985828399658
2013-03-25;-1.527268886566162
2013-03-26;-1.7410027980804443
2013-03-27;-1.061816930770874
2013-03-28;2.7491397857666016
2013-03-29;2.847358465194702
2013-03-30;1.9314305782318115
2013-03-31;1.5366299152374268
2013-04-01;1.1446359157562256
2013-04-02;1.4411695003509521
2013-04-03;3.4892361164093018
2013-04-04;4.457697868347168
2013-04-05;2.048502206802368
2013-04-06;3.435356616973877
2013-04-07;4.440377712249756
2013-04-08;5.060637950897217
2013-04-09;6.9560112953186035
2013-04-10;8.780909538269043
