;Weather
;-
;-
;AT
;
2011-01-01;-0.6372657418251038
2011-01-02;0.38864845037460327
2011-01-03;-0.9166713356971741
2011-01-04;-4.488174915313721
2011-01-05;-3.577568531036377
2011-01-06;5.188163757324219
2011-01-07;10.874635696411133
2011-01-08;11.684505462646484
2011-01-09;8.367508888244629
2011-01-10;1.1494807004928589
2011-01-11;4.174607276916504
2011-01-12;5.60019588470459
2011-01-13;9.697603225708008
2011-01-14;10.937806129455566
2011-01-15;8.807428359985352
2011-01-16;6.759509086608887
2011-01-17;4.97515344619751
2011-01-18;7.7613205909729
2011-01-19;3.2218570709228516
2011-01-20;1.322592854499817
2011-01-21;-0.4647405445575714
2011-01-22;-1.2792972326278687
2011-01-23;-2.344506025314331
2011-01-24;-0.08630222827196121
2011-01-25;0.7614436149597168
2011-01-26;1.476138710975647
2011-01-27;-0.24679775536060333
2011-01-28;-0.8150734901428223
2011-01-29;-3.63869047164917
2011-01-30;-4.9209442138671875
2011-01-31;-5.444209575653076
2011-02-01;-3.424523115158081
2011-02-02;-1.5901755094528198
2011-02-03;-0.24217849969863892
2011-02-04;5.240540504455566
2011-02-05;8.641778945922852
2011-02-06;7.545230865478516
2011-02-07;4.6108222007751465
2011-02-08;5.402222156524658
2011-02-09;1.266194462776184
2011-02-10;3.5958404541015625
2011-02-11;10.34533977508545
2011-02-12;9.430496215820312
2011-02-13;6.96760368347168
2011-02-14;6.486015319824219
2011-02-15;5.9118971824646
2011-02-16;5.3280839920043945
2011-02-17;2.64013409614563
2011-02-18;2.574068546295166
2011-02-19;3.2042977809906006
2011-02-20;0.7447783350944519
2011-02-21;-1.9881964921951294
2011-02-22;-1.585174798965454
2011-02-23;-1.521857500076294
2011-02-24;2.4094958305358887
2011-02-25;3.870938301086426
2011-02-26;3.594520092010498
2011-02-27;5.536181449890137
2011-02-28;4.144428253173828
2011-03-01;4.748708248138428
2011-03-02;4.021856307983398
2011-03-03;1.9585864543914795
2011-03-04;2.8207621574401855
2011-03-05;3.8076605796813965
2011-03-06;0.5115017294883728
2011-03-07;2.239811420440674
2011-03-08;5.4501190185546875
2011-03-09;8.918128967285156
2011-03-10;9.5613374710083
2011-03-11;9.277925491333008
2011-03-12;9.50131893157959
2011-03-13;10.271315574645996
2011-03-14;11.133438110351562
2011-03-15;11.903780937194824
2011-03-16;9.791463851928711
2011-03-17;6.2207465171813965
2011-03-18;5.730859279632568
2011-03-19;5.120601654052734
2011-03-20;4.315751075744629
2011-03-21;5.776126861572266
2011-03-22;7.496514797210693
2011-03-23;7.496514797210693
2011-03-24;10.945508003234863
2011-03-25;12.751052856445312
2011-03-26;9.918713569641113
2011-03-27;9.673921585083008
2011-03-28;9.621047973632812
2011-03-29;10.497501373291016
2011-03-30;9.797576904296875
2011-03-31;11.375093460083008
2011-04-01;14.486592292785645
2011-04-02;17.164718627929688
2011-04-03;16.615074157714844
2011-04-04;11.571073532104492
2011-04-05;11.988409996032715
2011-04-06;16.13207244873047
2011-04-07;17.772668838500977
2011-04-08;15.629414558410645
2011-04-09;13.634727478027344
2011-04-10;13.276838302612305
2011-04-11;16.07809066772461
2011-04-12;10.04812240600586
2011-04-13;7.538427829742432
