;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;Weather;Weather;Weather;Weather;Weather;Weather;Weather;Weather;Weather;Weather;Weather;Weather;Weather;Weather;Weather;Weather
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;A01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Room_Bath;Room_Bath;Room_Bath;Room_Bath;Room_Bath;Room_Bath;Room_Bath;Room_Bath;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Living;Room_Living;Room_Living;Room_Living;Room_Living;Room_Living;Room_Living;Room_Living;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Room_Bath;Room_Bath;Room_Bath;Room_Bath;Room_Bath;Room_Bath;Room_Bath;Room_Bath;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Children;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Kitchen;Room_Living;Room_Living;Room_Living;Room_Living;Room_Living;Room_Living;Room_Living;Room_Living;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;Room_Sleeping;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;WP;WP;WP;WP;WP;WP;WP;WP;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP;WP;WP;WP;WP;WP;WP;WP;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP;WP;WP;WP;WP;WP;WP;WP;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP;WP;WP;WP;WP;WP;WP;WP;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP;WP;WP;WP;WP;WP;WP;WP;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP;WP;WP;WP;WP;WP;WP;WP;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP1;WP2;WP2;WP2;WP2;WP2;WP2;WP2;WP2;AT;AT;AT;AT;AT;AT;AT;AT;AT Daily Average;AT Daily Average;AT Daily Average;AT Daily Average;AT Daily Average;AT Daily Average;AT Daily Average;AT Daily Average
;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std;25%;50%;75%;count;max;mean;min;std
('Weather', '-', '-', 'AT Daily Average');;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.0;0.4;0.4;0.6;120.0;0.6;0.483333333333;0.4;0.0990147542977;0.4;0.4;0.6;120.0;0.6;0.483333333333;0.4;0.0990147542977;0.5;0.5;0.5;120.0;0.5;0.5;0.5;0.0;;;;0.0;;;;;0.0;0.0;0.0;120.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;120.0;1.0;1.0;1.0;0.0;;;;0.0;;;;;;;;0.0;;;;;0.0;0.0;0.0;120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120.0;0.0;0.0;0.0;0.0;0.4;0.4;0.6;120.0;0.6;0.483333333333;0.4;0.0990147542977;0.4;0.4;0.6;120.0;0.6;0.483333333333;0.4;0.0990147542977;0.5;0.5;0.5;120.0;0.5;0.5;0.5;0.0;1.0;1.0;1.0;120.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;120.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;120.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;120.0;1.0;0.416666666667;0.0;0.495073771488;0.0;0.0;0.0;120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;120.0;0.0;0.0;0.0;0.0;5.14250004292;5.52500009536;5.98000001907;120.0;6.09000015259;5.50775003433;4.71000003815;0.456965650911;6.0;6.0;6.0;120.0;6.0;6.0;6.0;0.0
9.0;0.4;0.6;0.6;1431.0;0.6;0.532774283718;0.2;0.107784056626;0.4;0.6;0.6;1431.0;0.6;0.532774283718;0.2;0.107784056626;0.0;0.0;0.5;1431.0;0.5;0.223969252271;0.0;0.248728029422;;;;0.0;;;;;0.0;0.0;0.0;1431.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1431.0;1.0;0.447938504542;0.0;0.497456058845;;;;0.0;;;;;;;;0.0;;;;;0.0;0.0;0.0;1431.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1431.0;0.0;0.0;0.0;0.0;0.4;0.6;0.6;1431.0;0.6;0.532774283718;0.2;0.107784056626;0.4;0.6;0.6;1431.0;0.6;0.532774283718;0.2;0.107784056626;0.0;0.0;0.5;1431.0;0.5;0.223969252271;0.0;0.248728029422;1.0;1.0;1.0;1431.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1431.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1431.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1431.0;1.0;0.447938504542;0.0;0.497456058845;1.0;1.0;1.0;1431.0;1.0;0.863731656184;0.0;0.3431932247;1.0;1.0;1.0;1431.0;1.0;0.800139762404;0.0;0.400034939075;0.0;0.0;0.0;1431.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1431.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1431.0;0.0;0.0;0.0;0.0;7.05999994278;9.43999958038;12.0949997902;1431.0;13.3100004196;9.43899370656;5.78999996185;2.46840417849;9.0;9.0;9.0;1431.0;9.0;9.0;9.0;0.0
11.0;0.4;0.6;0.6;1427.0;0.8;0.496285914506;0.0;0.176792196117;0.4;0.6;0.6;1427.0;0.8;0.496285914506;0.0;0.176792196117;0.0;0.0;0.0;1427.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0;1.0;1427.0;1.0;0.489138051857;0.0;0.500057247637;0.0;0.0;0.0;1427.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;;;;0.0;;;;;0.0;0.0;0.0;1427.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1427.0;0.0;0.0;0.0;0.0;0.4;0.6;0.6;1427.0;0.8;0.496285914506;0.0;0.176792196117;0.4;0.6;0.6;1427.0;0.8;0.496285914506;0.0;0.176792196117;0.0;0.0;0.0;1427.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1427.0;1.0;0.791170287316;0.0;0.406614960671;0.0;0.0;1.0;1427.0;1.0;0.489138051857;0.0;0.500057247637;0.0;0.0;1.0;1427.0;1.0;0.489138051857;0.0;0.500057247637;0.0;0.0;0.0;1427.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1427.0;1.0;0.984583041345;0.0;0.123247396297;0.0;0.0;0.0;1427.0;1.0;0.216538192011;0.0;0.412029576776;0.0;0.0;0.0;1427.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1427.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1427.0;0.0;0.0;0.0;0.0;9.98999977112;11.5399999619;12.4399995804;1427.0;13.1300001144;11.3190679971;9.40999984741;1.21424497446;11.0;11.0;11.0;1427.0;11.0;11.0;11.0;0.0
