;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;ATR;AT Daily Average <=5;AT Daily Average <=5;AT Daily Average <=5;AT Daily Average <=5;AT Daily Average <=5;AT Daily Average <=5;AT Daily Average <=5;AT Daily Average <=5;AT Daily Average <=5;5 < AT Daily Average <=11;5 < AT Daily Average <=11;5 < AT Daily Average <=11;5 < AT Daily Average <=11;5 < AT Daily Average <=11;5 < AT Daily Average <=11;5 < AT Daily Average <=11;5 < AT Daily Average <=11;5 < AT Daily Average <=11;11 < AT Daily Average <=14;11 < AT Daily Average <=14;11 < AT Daily Average <=14;11 < AT Daily Average <=14;11 < AT Daily Average <=14;11 < AT Daily Average <=14;11 < AT Daily Average <=14;11 < AT Daily Average <=14;11 < AT Daily Average <=14;14 < AT Daily Average <=18;14 < AT Daily Average <=18;14 < AT Daily Average <=18;14 < AT Daily Average <=18;14 < AT Daily Average <=18;14 < AT Daily Average <=18;14 < AT Daily Average <=18;14 < AT Daily Average <=18;14 < AT Daily Average <=18;AT Daily Average >18;AT Daily Average >18;AT Daily Average >18;AT Daily Average >18;AT Daily Average >18;AT Daily Average >18;AT Daily Average >18;AT Daily Average >18;AT Daily Average >18
;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal;Standard Diurnal
;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD;MD
;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;Weather;Weather;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;Weather;Weather;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;Weather;Weather;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;Weather;Weather;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;Weather;Weather;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;B2E2;Weather;Weather
;A01;A01;A01;A01;A01;A01;A01;-;-;A01;A01;A01;A01;A01;A01;A01;-;-;A01;A01;A01;A01;A01;A01;A01;-;-;A01;A01;A01;A01;A01;A01;A01;-;-;A01;A01;A01;A01;A01;A01;A01;-;-;A01;A01;A01;A01;A01;A01;A01;-;-
;Room_Living;Room_Kitchen;Room_Sleeping;Room_Sleeping;Room_Children;Room_Children;Room_Bath;-;-;Room_Living;Room_Kitchen;Room_Sleeping;Room_Sleeping;Room_Children;Room_Children;Room_Bath;-;-;Room_Living;Room_Kitchen;Room_Sleeping;Room_Sleeping;Room_Children;Room_Children;Room_Bath;-;-;Room_Living;Room_Kitchen;Room_Sleeping;Room_Sleeping;Room_Children;Room_Children;Room_Bath;-;-;Room_Living;Room_Kitchen;Room_Sleeping;Room_Sleeping;Room_Children;Room_Children;Room_Bath;-;-;Room_Living;Room_Kitchen;Room_Sleeping;Room_Sleeping;Room_Children;Room_Children;Room_Bath;-;-
;WP1;WP1;WP1;WP2;WP1;WP2;WP1;AT;AT Daily Average;WP1;WP1;WP1;WP2;WP1;WP2;WP1;AT;AT Daily Average;WP1;WP1;WP1;WP2;WP1;WP2;WP1;AT;AT Daily Average;WP1;WP1;WP1;WP2;WP1;WP2;WP1;AT;AT Daily Average;WP1;WP1;WP1;WP2;WP1;WP2;WP1;AT;AT Daily Average;WP1;WP1;WP1;WP2;WP1;WP2;WP1;AT;AT Daily Average
Time;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-11-07 00:00:00;1.0;1.0;0.0;0.0;0.0;0.333333333333;0.666666666667;9.59333324433;8.5;1.0;1.0;0.0;0.0;0.0;1.0;1.0;6.09000015259;4.8;1.0;1.0;0.0;0.0;0.0;0.0;1.0;13.029999733;9.4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;9.65999984741;11.3;;;;;;;;;;;;;;;;;;
2017-11-07 00:01:00;1.0;0.666666666667;0.0;0.0;0.0;0.333333333333;0.666666666667;9.5833331744;8.5;1.0;1.0;0.0;0.0;0.0;1.0;1.0;6.05999994278;4.8;1.0;1.0;0.0;0.0;0.0;0.0;1.0;13.029999733;9.4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;9.65999984741;11.3;;;;;;;;;;;;;;;;;;
